possession_1st,possession_2nd,shots_1st,shots_2nd,shots_on_target_1st,shots_on_target_2nd,corners_1st,corners_2nd,passes_1st,passes_2nd,accurate_passes_1st,accurate_passes_2nd,crosses_1st,crosses_2nd,accurate_crosses_1st,accurate_crosses_2nd,successful_tackles_1st,successful_tackles_2nd,fouls_1st,fouls_2nd,offsides_1st,offsides_2nd,yellow_cards_1st,yellow_cards_2nd,red_cards_1st,red_cards_2nd,team_1st,team_2nd,score_1st,score_2nd
36,64,11,10,5,3,7,9,276,521,189,441,24,20,8,4,8,5,16,7,0,2,2,1,0,0,BRUK-BET TERMALICA NIECIECZA,WISŁA PŁOCK,1,0
52,48,17,9,5,3,4,4,359,339,267,234,23,14,8,3,11,10,14,14,2,0,2,1,0,0,CRACOVIA,WISŁA KRAKÓW,0,0
58,42,14,5,1,2,5,3,367,281,263,177,31,9,7,2,7,12,19,18,0,3,4,2,0,0,RADOMIAK RADOM,CRACOVIA,0,1
56,44,23,17,5,6,9,5,447,369,349,279,30,11,4,7,9,7,12,9,1,0,1,2,0,0,KGHM ZAGŁĘBIE LUBIN,GÓRNIK ZABRZE,2,4
46,54,13,16,2,4,4,4,342,414,256,330,20,19,5,5,3,8,18,13,1,2,3,3,1,0,ŚLĄSK WROCŁAW,BRUK-BET TERMALICA NIECIECZA,0,4
43,57,11,14,5,7,3,9,342,457,259,362,19,24,5,5,8,14,8,17,4,2,0,3,0,0,PIAST GLIWICE,JAGIELLONIA BIAŁYSTOK,2,1
61,39,10,15,3,2,1,7,549,339,439,234,9,20,2,7,9,15,14,15,1,2,3,4,0,0,LECHIA GDAŃSK,WARTA POZNAŃ,2,0
62,38,22,8,4,2,10,7,527,326,429,245,25,12,4,6,8,4,9,9,5,3,1,1,0,0,LECH POZNAŃ,PGE FKS STAL MIELEC,3,1
58,42,21,6,7,4,11,2,413,304,328,211,33,12,10,3,10,10,16,20,1,2,4,3,0,0,RAKÓW CZĘSTOCHOWA,GÓRNIK ŁĘCZNA,2,1
47,53,13,17,5,3,3,7,368,398,274,317,5,38,2,8,5,12,6,14,1,2,1,1,1,0,POGOŃ SZCZECIN,LEGIA WARSZAWA,3,1
42,58,15,9,6,5,3,0,409,578,332,482,16,4,2,2,10,9,18,12,1,2,4,1,0,0,WISŁA KRAKÓW,WISŁA PŁOCK,3,4
63,37,12,9,2,2,4,0,571,339,453,248,29,10,4,4,13,11,23,21,3,7,3,2,0,0,PGE FKS STAL MIELEC,WARTA POZNAŃ,0,1
49,51,11,13,4,2,4,6,365,391,279,292,27,21,5,5,7,7,11,14,1,1,0,1,0,0,GÓRNIK ŁĘCZNA,RADOMIAK RADOM,1,0
64,36,13,12,2,5,6,8,498,274,404,180,21,11,6,5,8,5,12,9,1,1,1,1,0,0,BRUK-BET TERMALICA NIECIECZA,RAKÓW CZĘSTOCHOWA,0,3
40,60,7,16,1,7,3,12,286,410,188,317,9,27,1,7,12,14,13,15,3,3,6,2,0,0,JAGIELLONIA BIAŁYSTOK,POGOŃ SZCZECIN,1,2
45,55,3,23,1,7,3,9,416,497,318,407,8,35,2,7,9,8,13,8,1,0,3,2,0,0,WISŁA PŁOCK,LECH POZNAŃ,0,1
42,58,20,14,4,2,5,8,337,460,228,365,19,30,4,10,11,8,15,11,1,1,3,3,0,0,CRACOVIA,KGHM ZAGŁĘBIE LUBIN,1,0
44,56,19,10,8,2,3,1,436,568,342,469,22,12,5,4,15,7,9,9,1,2,0,2,0,0,ŚLĄSK WROCŁAW,WISŁA KRAKÓW,1,1
47,53,18,16,3,6,5,9,338,380,245,291,17,24,2,5,8,5,15,18,4,3,1,1,0,0,GÓRNIK ZABRZE,LECHIA GDAŃSK,1,3
69,31,14,14,1,5,6,5,599,276,502,193,40,16,13,5,10,15,11,17,0,1,2,3,0,0,LEGIA WARSZAWA,PIAST GLIWICE,0,1
53,47,16,15,9,4,4,6,386,338,295,238,22,21,5,6,9,15,10,19,1,3,2,3,0,0,KGHM ZAGŁĘBIE LUBIN,PGE FKS STAL MIELEC,3,1
56,44,18,9,9,5,11,5,459,381,368,295,40,14,8,3,6,7,9,10,1,1,1,2,0,0,POGOŃ SZCZECIN,WISŁA PŁOCK,1,2
44,56,13,8,7,2,5,9,372,467,285,369,17,31,7,5,15,10,14,16,0,0,1,2,0,0,PIAST GLIWICE,GÓRNIK ŁĘCZNA,1,0
57,43,14,3,3,1,6,2,510,389,404,272,21,10,3,1,11,12,11,15,0,1,1,4,0,1,LECH POZNAŃ,LEGIA WARSZAWA,1,1
51,49,17,9,6,0,5,7,445,408,343,297,18,27,5,3,8,8,10,13,2,5,0,3,0,0,LECHIA GDAŃSK,BRUK-BET TERMALICA NIECIECZA,2,0
45,55,11,11,2,2,4,4,361,457,269,335,22,18,2,2,5,16,15,16,6,2,4,0,0,0,WARTA POZNAŃ,CRACOVIA,1,0
48,52,17,12,9,4,5,8,359,394,263,295,14,18,4,5,14,6,12,19,1,2,3,1,0,0,WISŁA KRAKÓW,GÓRNIK ZABRZE,4,1
57,43,14,14,4,7,9,6,414,321,317,229,30,16,7,4,5,8,19,12,1,3,3,6,0,0,RAKÓW CZĘSTOCHOWA,ŚLĄSK WROCŁAW,1,1
53,47,8,17,3,4,2,7,368,326,261,231,15,20,4,4,20,13,15,10,2,0,0,2,0,0,RADOMIAK RADOM,JAGIELLONIA BIAŁYSTOK,2,2
59,41,12,17,4,6,6,8,357,250,252,141,23,21,4,3,4,8,26,11,3,2,3,3,0,1,PGE FKS STAL MIELEC,CRACOVIA,2,3
44,56,11,9,3,4,4,3,414,541,305,433,17,9,3,1,9,4,13,8,3,2,2,0,0,0,ŚLĄSK WROCŁAW,LECH POZNAŃ,0,1
51,49,6,13,1,4,4,7,425,405,304,287,15,17,2,4,9,9,12,18,1,0,2,0,0,0,WARTA POZNAŃ,RAKÓW CZĘSTOCHOWA,0,2
43,57,7,19,3,7,0,5,349,489,265,394,20,12,6,3,8,9,7,15,4,7,2,1,0,0,GÓRNIK ŁĘCZNA,POGOŃ SZCZECIN,0,4
43,57,17,13,8,5,4,9,340,451,239,353,14,22,5,4,17,12,8,12,4,0,3,2,0,0,LEGIA WARSZAWA,LECHIA GDAŃSK,2,1
58,42,25,8,6,2,5,7,414,296,294,164,23,19,6,3,7,5,17,17,1,1,5,1,0,1,BRUK-BET TERMALICA NIECIECZA,RADOMIAK RADOM,1,1
65,35,16,11,6,1,9,5,527,281,408,173,28,22,4,3,8,10,9,13,1,1,4,2,0,1,JAGIELLONIA BIAŁYSTOK,KGHM ZAGŁĘBIE LUBIN,2,1
57,43,20,13,6,6,5,4,518,384,411,277,18,18,5,5,6,10,8,12,0,2,1,2,0,0,WISŁA KRAKÓW,PIAST GLIWICE,2,3
43,57,6,22,4,6,3,13,365,472,248,362,8,29,1,2,6,4,9,17,1,2,4,3,0,0,WISŁA PŁOCK,GÓRNIK ZABRZE,3,2
63,37,13,16,2,7,3,3,509,313,395,200,34,10,7,2,4,15,15,16,1,1,2,2,0,0,KGHM ZAGŁĘBIE LUBIN,WARTA POZNAŃ,0,4
56,44,18,9,6,2,10,3,442,349,345,260,27,14,4,3,12,11,12,10,2,3,2,1,0,0,POGOŃ SZCZECIN,WISŁA KRAKÓW,4,1
65,35,14,16,3,6,3,3,534,274,425,174,17,22,7,9,13,8,18,14,4,0,5,6,0,0,WISŁA PŁOCK,ŚLĄSK WROCŁAW,1,2
54,46,18,5,4,2,5,6,407,367,316,256,29,11,3,3,8,14,23,15,1,1,1,3,1,0,RAKÓW CZĘSTOCHOWA,LEGIA WARSZAWA,1,1
53,47,18,12,9,4,3,11,448,376,364,280,18,31,7,4,6,9,14,15,3,5,2,1,0,0,LECHIA GDAŃSK,GÓRNIK ŁĘCZNA,2,0
58,42,20,5,8,2,6,2,583,434,518,356,22,6,7,1,14,14,12,11,4,0,1,2,0,0,LECH POZNAŃ,JAGIELLONIA BIAŁYSTOK,3,0
68,32,24,13,4,6,7,1,509,237,427,144,34,13,5,3,5,7,14,14,2,1,0,5,0,0,RADOMIAK RADOM,PGE FKS STAL MIELEC,1,1
54,46,12,12,1,2,7,4,436,381,334,282,19,14,4,3,8,6,15,13,4,2,1,1,0,0,CRACOVIA,PIAST GLIWICE,0,1
67,33,25,16,11,6,11,2,528,267,444,176,27,11,7,4,7,13,12,15,2,5,5,4,1,0,GÓRNIK ZABRZE,BRUK-BET TERMALICA NIECIECZA,1,1
53,47,13,9,5,4,6,5,390,350,289,253,25,26,5,3,10,9,15,18,5,1,4,3,0,0,BRUK-BET TERMALICA NIECIECZA,KGHM ZAGŁĘBIE LUBIN,0,4
38,62,6,13,2,3,4,7,361,603,250,506,16,29,3,9,7,10,12,12,2,1,2,2,0,0,GÓRNIK ŁĘCZNA,LEGIA WARSZAWA,0,1
39,61,13,4,8,2,7,3,367,592,256,467,21,8,4,1,12,3,10,12,1,0,0,3,0,0,WARTA POZNAŃ,GÓRNIK ZABRZE,2,1
52,48,12,8,4,3,9,3,386,366,253,244,22,13,10,4,8,6,14,12,1,1,1,3,0,0,PIAST GLIWICE,LECHIA GDAŃSK,1,0
48,52,12,8,3,3,4,2,338,371,208,276,22,19,6,2,10,5,16,14,0,0,5,4,0,0,CRACOVIA,POGOŃ SZCZECIN,1,1
56,44,17,20,4,6,4,10,470,366,365,257,27,20,5,9,16,16,11,15,2,3,1,1,0,0,JAGIELLONIA BIAŁYSTOK,WISŁA PŁOCK,0,1
52,48,11,7,1,3,7,5,408,389,316,286,24,19,1,6,7,18,11,16,1,0,0,2,0,0,ŚLĄSK WROCŁAW,RADOMIAK RADOM,1,0
34,66,8,16,2,3,12,10,257,504,171,401,20,36,1,9,5,16,12,8,0,1,2,2,0,0,WISŁA KRAKÓW,LECH POZNAŃ,1,1
54,46,19,9,6,2,9,2,434,370,367,264,18,8,5,0,8,5,9,10,8,1,2,1,0,0,RAKÓW CZĘSTOCHOWA,PGE FKS STAL MIELEC,2,1
61,39,0,4,0,2,0,0,0,203,0,170,,,,,0,10,1,9,0,0,0,2,0,0,PGE FKS STAL MIELEC,JAGIELLONIA BIAŁYSTOK,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,POGOŃ SZCZECIN,RADOMIAK RADOM,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,BRUK-BET TERMALICA NIECIECZA,WARTA POZNAŃ,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,KGHM ZAGŁĘBIE LUBIN,PIAST GLIWICE,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,LECHIA GDAŃSK,WISŁA KRAKÓW,1,1
